osm_id,is_in_town,Number
2559086,Quận 1,341
2561415,Quận 1,341
2561568,Quận 1,341
2561569,Quận 1,341
2561570,Quận 1,341
2587245,Quận 1,341
2587255,Quận 1,341
2587287,Quận 1,341
2587288,Quận 1,341
2587289,Quận 1,341
2587350,Quận 1,341
2588873,Quận 4,334
2588874,Quận 4,334
2589240,Quận 4,334
2766947,Quận 7,942
2766948,Quận 7,942
2766949,Quận 7,942
2766950,Quận 7,942
2766951,Quận 7,942
2766952,Quận 7,942
2766953,Quận 7,942
2766954,Quận 7,942
2766955,Quận 7,942
2766956,Quận 7,942
2778323,Quận 4,334
2778325,Quận 4,334
2778326,Quận 4,334
3797292,Quận Bình Thạnh,637
3797293,Quận Bình Thạnh,637
3797294,Quận Bình Thạnh,637
3797295,Quận Bình Thạnh,637
3797296,Quận Bình Thạnh,637
3797298,Quận Bình Thạnh,637
3797299,Quận Bình Thạnh,637
3797300,Quận Bình Thạnh,637
3797301,Quận Bình Thạnh,637
3797303,Quận Bình Thạnh,637
3797304,Quận Bình Thạnh,637
3797305,Quận Bình Thạnh,637
3797306,Quận Bình Thạnh,637
3797307,Quận Bình Thạnh,637
3797308,Quận Bình Thạnh,637
3797309,Quận Bình Thạnh,637
3797310,Quận Bình Thạnh,637
3797311,Quận Bình Thạnh,637
3797312,Quận Bình Thạnh,637
3797313,Quận Bình Thạnh,637
3819814,Quận 3 ,360
3819816,Quận 3 ,360
3820432,Quận 3 ,360
3848478,Quận 3 ,360
3848479,Quận 3 ,360
3848480,Quận 3 ,360
3848481,Quận 3 ,360
3848597,Quận 3 ,360
3849095,Quận 3 ,360
3849096,Quận 3 ,360
3849097,Quận 3 ,360
3849098,Quận 3 ,360
3849099,Quận 3 ,360
3849100,Quận 3 ,360
3853749,Phú Nhuận ,400
3853750,Phú Nhuận ,400
3853751,Phú Nhuận ,400
6204494,Quận 4,334
6214050,Quận 4,334
6214051,Quận 4,334
6214052,Quận 4,334
6219362,Quận 5,276
6219363,Quận 5,276
6219364,Quận 5,276
6219365,Quận 5,276
6227794,Quận Phú Nhuận,400
6227795,Quận Phú Nhuận,400
6227796,Quận Phú Nhuận,400
6227797,Quận Phú Nhuận,400
6227798,Quận Phú Nhuận,400
6227799,Quận Phú Nhuận,400
6227865,Quận Phú Nhuận,400
6227867,Quận Phú Nhuận,400
6227926,Quận 5,276
6227927,Quận 5,276
6227928,Quận 5,276
6227929,Quận 5,276
6227930,Quận 5,276
6227932,Quận 5,276
6227933,Quận 5,276
6227934,Quận 5,276
6227935,Quận 5,276
6227936,Quận 5,276
6228112,Quận 10,432
6228113,Quận 10,432
6228115,Quận 10,432
6228116,Quận 10,432
6228117,Quận 10,432
6228118,Quận 10,432
6228119,Quận 10,432
6228120,Quận 10,432
6228786,Quận 10,432
6228787,Quận 10,432
6228788,Quận 10,432
6228789,Quận 10,432
6228790,Quận 10,432
6228791,Quận 10,432
6846112,Quận 11,349
6846113,Quận 6,451
6846116,Quận 11,349
6846117,Quận 6,451
6846121,Quận 11,349
6846124,Quận 11,349
6846125,Quận 11,349
6846129,Quận Tân Phú ,1139
6846133,Quận Tân Bình ,831
6846135,Quận 11,349
6846138,Quận 11,349
6846159,Quận 11,349
6846166,Quận 11,349
6846167,Quận 11,349
6846169,Quận 11,349
6846170,Quận 11,349
6846173,Quận 11,349
6846176,Quận 11,349
6846177,Quận Tân Bình ,831
6846178,Quận Tân Bình ,831
6846182,Quận 11,349
6846189,Quận 11,349
6850610,Quận Tân Phú ,1139
6850613,Quận 6,451
6850614,Quận 6,451
6850976,Quận 6,451
6850979,Quận 6,451
6856464,Quận 6,451
6856465,Quận 6,451
6856466,Quận 6,451
6856467,Quận 6,451
6856468,Quận 6,451
6856469,Quận 6,451
6856470,Quận 6,451
6856471,Quận 6,451
6888551,Quận 8,751
6888552,Quận 8,751
6888553,Quận 8,751
6888554,Quận 8,751
6890766,Quận 8,751
6890767,Quận 8,751
6890768,Quận 8,751
6890769,Quận 8,751
6890770,Quận 8,751
6890771,Quận 8,751
6890809,Quận 8,751
6890810,Quận 8,751
6890811,Quận 8,751
6890812,Quận 8,751
6890813,Quận 8,751
6890814,Quận 8,751
6890888,Quận Tân Phú ,1139
6890889,Quận Tân Phú ,1139
6890890,Quận Tân Phú ,1139
6890891,Quận Tân Phú ,1139
6890892,Quận Tân Phú ,1139
6892359,Quận Tân Phú ,1139
6892360,Quận Tân Phú ,1139
6892361,Quận Tân Phú ,1139
6892362,Quận Tân Phú ,1139
6892400,Quận Tân Bình,831
6892589,Quận Tân Bình,831
6892590,Quận Tân Bình,831
6893381,Quận Tân Bình,831
6893382,Quận Tân Bình,831
6893383,Quận Tân Bình,831
6893384,Quận Tân Bình,831
6893385,Quận Tân Bình,831
6893386,Quận Tân Bình,831
6893431,Quận Tân Bình,831
6893432,Quận Tân Bình,831
6893433,Quận Tân Bình,831
6893434,Quận Tân Bình,831
6908356,Quận Gò Vấp ,1106
6908357,Quận Gò Vấp ,1106
6908358,Quận Gò Vấp ,1106
6908359,Quận Gò Vấp ,1106
6908360,Quận Gò Vấp ,1106
6908405,Quận Gò Vấp ,1106
6908406,Quận Gò Vấp ,1106
6908407,Quận Gò Vấp ,1106
6909604,Quận Gò Vấp ,1106
6909605,Quận Gò Vấp ,1106
6909606,Quận Gò Vấp ,1106
6909607,Quận Gò Vấp ,1106
6909608,Quận Gò Vấp ,1106
6909609,Quận Gò Vấp ,1106
6909610,Quận Gò Vấp ,1106
6909611,Quận Gò Vấp ,1106
6915821,Quận Bình Tân ,2115
6915822,Quận Bình Tân ,2115
6915823,Quận Bình Tân ,2115
6915824,Quận Bình Tân ,2115
6915940,Quận Bình Tân ,2115
6915941,Quận Bình Tân ,2115
6915942,Quận Bình Tân ,2115
6915943,Quận Bình Tân ,2115
6915944,Quận Bình Tân ,2115
6915945,Quận Bình Tân ,2115
6928028,Quận 12,1245
6928029,Quận 12,1245
6928030,Quận 12,1245
6928153,Quận 12,1245
6928154,Quận 12,1245
6928155,Quận 12,1245
6928156,Quận 12,1245
6941014,Quận 12,1245
6941015,Quận 12,1245
6941016,Quận 12,1245
6941018,Quận 12,1245
7138135,Quận 12,1245
7138136,Quận 12,1245
7138137,Quận 12,1245
7138138,Quận 12,1245
7138166,TP Thủ Đức,1110
7138167,TP Thủ Đức,1110
7144130,TP Thủ Đức,1110
7144131,TP Thủ Đức,1110
7144243,TP Thủ Đức,1110
7144244,TP Thủ Đức,1110
7144245,TP Thủ Đức,1110
7342307,TP Thủ Đức,1110
7342308,TP Thủ Đức,1110
7342510,TP Thủ Đức,1110
7342511,TP Thủ Đức,1110
7342566,TP Thủ Đức,1110
7342567,TP Thủ Đức,1110
7342568,TP Thủ Đức,1110
7342569,TP Thủ Đức,1110
7343270,TP Thủ Đức,1110
7343271,TP Thủ Đức,1110
7343272,TP Thủ Đức,1110
7343273,TP Thủ Đức,1110
7346817,TP Thủ Đức,1110
7346818,TP Thủ Đức,1110
7351897,TP Thủ Đức,1110
7364738,TP Thủ Đức,1110
7364739,TP Thủ Đức,1110
7370760,TP Thủ Đức,1110
7370761,TP Thủ Đức,1110
7370762,TP Thủ Đức,1110
7370763,TP Thủ Đức,1110
7462672,Huyện Bình Chánh,1342
7462673,Huyện Bình Chánh,1342
7462674,Huyện Bình Chánh,1342
7462675,Huyện Bình Chánh,1342
7462676,Huyện Bình Chánh,1342
7462677,Huyện Bình Chánh,1342
7462678,Huyện Bình Chánh,1342
7462679,Huyện Bình Chánh,1342
7463540,Huyện Bình Chánh,1342
7463541,Huyện Bình Chánh,1342
7463542,Huyện Bình Chánh,1342
7463543,Huyện Bình Chánh,1342
7463544,Huyện Bình Chánh,1342
7463545,Huyện Bình Chánh,1342
7463546,Huyện Bình Chánh,1342
7463547,Huyện Bình Chánh,1342
7468179,Huyện Cần Giờ,1023
7468246,Huyện Cần Giờ,1023
7621975,Huyện Củ Chi,1271
7621978,Huyện Củ Chi,1271
7621979,Huyện Củ Chi,1271
7627381,Huyện Củ Chi,1271
7627465,Huyện Củ Chi,1271
7629221,Huyện Củ Chi,1271
7629222,Huyện Củ Chi,1271
7629223,Huyện Củ Chi,1271
7629224,Huyện Củ Chi,1271
7629287,Huyện Củ Chi,1271
7629289,Huyện Củ Chi,1271
7638093,Huyện Hóc Môn,1292
7638094,Huyện Hóc Môn,1292
7638095,Huyện Hóc Môn,1292
7638199,Huyện Hóc Môn,1292
7638200,Huyện Hóc Môn,1292
7638201,Huyện Hóc Môn,1292
7638202,Huyện Hóc Môn,1292
7638203,Huyện Hóc Môn,1292
7638251,Huyện Hóc Môn,1292
7638252,Huyện Hóc Môn,1292
7638253,Huyện Hóc Môn,1292
7638254,Huyện Hóc Môn,1292
7650792,Huyện Nhà Bè ,662
7650793,Huyện Nhà Bè ,662
7650794,Huyện Nhà Bè ,662
7650795,Huyện Nhà Bè ,662
7650796,Huyện Nhà Bè ,662
7650797,Huyện Nhà Bè ,662
7650798,Huyện Nhà Bè ,662
8393477,Huyện Nhà Bè ,662
8393478,Huyện Nhà Bè ,662
8427050,TP Thủ Đức,1110
9468605,Quận 4,334
9797865,Quận 4,334
9797866,Quận 4,334
9797867,Quận 4,334
